SourceName,CECName,match_rule,source_lat,source_lon,cec_lat,cec_lon,dist_km,name_agrees,already_in_dict
Acton,Acton - SCE,spatial,34.51048799897755,-118.1972449969698,34.51022357,-118.19933149,0.193,True,True
Alhambra,Alhambra - (SCE),spatial,34.09096899908039,-118.14957300279646,34.0912605,-118.14907918,0.056,True,True
Anita,Anita - (SCE),spatial,34.10555098724205,-118.03923537457985,34.105624,-118.03844492,0.073,True,True
Arrowhead,Arrowhead - (SCE),spatial,34.28267982597404,-117.21513008335693,34.28345907,-117.21625397,0.135,True,True
Belmont,Belmont - (SCE),spatial,33.78118737176825,-118.14988916312744,33.7813257,-118.1498075,0.017,True,True
Belmont,Hathaway,spatial,33.78118737176825,-118.14988916312744,33.791043,-118.14217409,1.307,False,True
Belmont,Broadway - SCE,spatial,33.78118737176825,-118.14988916312744,33.76696923,-118.15203855,1.593,False,True
Blythe City,Blythe,spatial,33.60578415772661,-114.59963819241848,33.60620765,-114.59984385,0.051,False,True
Borrego,Borrego - (SCE),spatial,33.59768363722954,-117.74923154879204,33.59766017,-117.74899793,0.022,True,True
Brighton,Brighton - (SCE),spatial,33.902310831667656,-118.31210985553204,33.90251896,-118.31185604,0.033,True,True
Brighton,Unknown - 3899,spatial,33.902310831667656,-118.31210985553204,33.91631867,-118.31761,1.638,False,True
Broadway,Broadway - SCE,spatial,33.76684825454163,-118.15180342316602,33.76696923,-118.15203855,0.026,True,True
Broadway,Belmont - (SCE),spatial,33.76684825454163,-118.15180342316602,33.7813257,-118.1498075,1.62,False,True
Broadway,Thums B,spatial,33.76684825454163,-118.15180342316602,33.75275487,-118.15950914,1.721,False,True
Broadway,Naples,spatial,33.76684825454163,-118.15180342316602,33.76824802,-118.13263956,1.778,False,True
Broadway,Bixby,spatial,33.76684825454163,-118.15180342316602,33.77190836,-118.17049258,1.817,False,True
Cabrillo,Cabrillo - (SCE),spatial,33.67169434144606,-117.84750781986958,33.67186806,-117.84757924,0.02,True,True
Cabrillo,Johnair,spatial,33.67169434144606,-117.84750781986958,33.67560634,-117.86376802,1.566,False,True
Cabrillo,Chip,spatial,33.67169434144606,-117.84750781986958,33.66059753,-117.86061766,1.73,False,True
Cabrillo,Smithtool,spatial,33.67169434144606,-117.84750781986958,33.6878504,-117.84902712,1.802,False,True
Camden,Camden - (SCE),spatial,33.71334293054773,-117.88328931162948,33.71317892,-117.88360693,0.035,True,True
Camden,Unknown - 3792,spatial,33.71334293054773,-117.88328931162948,33.71604755,-117.88515977,0.347,False,True
Camden,Unknown - 4057,spatial,33.71334293054773,-117.88328931162948,33.70014216,-117.87683397,1.585,False,True
Cameron,Cameron - (SCE),spatial,33.8192358468031,-118.21711088356317,33.81936262,-118.21697478,0.019,True,True
Cameron,Hinson,spatial,33.8192358468031,-118.21711088356317,33.81926415,-118.22252687,0.5,False,True
Cameron,Davidson City,spatial,33.8192358468031,-118.21711088356317,33.8315149,-118.21408315,1.394,False,True
Cameron,Polypro,spatial,33.8192358468031,-118.21711088356317,33.82142772,-118.23328633,1.514,False,True
Cameron,Air Products - (SCE),spatial,33.8192358468031,-118.21711088356317,33.81250703,-118.23205217,1.57,False,True
Cameron,Gatx,spatial,33.8192358468031,-118.21711088356317,33.80737947,-118.23317722,1.985,False,True
Canyon,Canyon - (SCE),spatial,33.871538676482594,-117.74807268223128,33.8714507,-117.74696846,0.102,True,True
