SourceName,BasinName,Utility,Notes
Artesian Ranch,Artesian,SDGE,
Boulevard East,Boulevard,SDGE,
Chollas West,Chollas,SDGE,
Granite,Granite Hills,SDGE,
Kearny West,Kearny,SDGE,
Olivenhain,Olivanhain,SDGE,
San Juan Capistrano,Capistrano,SDGE,
Wabash Canyon,Wabash,SDGE,
Warners,Warner,SDGE,
BALCH NO 1,Balch 1,PGE,
COALINGA NO 1,Coalinga 1,PGE,
COALINGA NO 2,Coalinga 2,PGE,
CRESTA PH,Cresta,PGE,
DAVIS,UC Davis,PGE,
DRUM,Drum 1,PGE,
DRUM,Drum 2,PGE,
EL CERRITO G,El Cerrito Station G,PGE,
EL DORADO PH,El Dorado,PGE,
ELECTRA,Electra 1,PGE,
ELECTRA,Electra 2,PGE,
EUREKA A,Eureka Station A,PGE,
EUREKA E,Eureka Station E,PGE,
FAIRMOUNT,Fairmont,PGE,
FIGARDEN,Fig Garden,PGE,
FITCH MOUNTAIN,Fitch Mt.,PGE,
FORT BRAGG A,Fort Bragg,PGE,
HALF MOON BAY,Half Moon Bay & CM&O Yard ,PGE,
HUMBOLDT BAY PP,HUMBOLDT Bay,PGE,
IONE,Ione Energy,PGE,
KEARNEY,Kearney (New),PGE,
KEARNEY,Kearney (Old),PGE,
KERCKHOFF,Kerchoff 1,PGE,
KERCKHOFF,Kerchoff 2,PGE,
LAS GALLINAS A,Las Gallinas,PGE,
MC CALL,McCall,PGE,
MIWUK,Mi-Wuk,PGE,
MOUNTAIN QUARRIES,Mt. Quarries,PGE,
MOUNTAIN VIEW,Mt. View,PGE,
NEWARK 12KV,Newark,PGE,
NEWARK 21KV,Newark Distribution,PGE,
OILFIELDS,Oil Fields,PGE,
PETALUMA A,Petaluma Station A,PGE,
PETALUMA C,Petaluma Station C,PGE,
PIT NO 1,Pit 1,PGE,
PIT NO 1,Pit 1 A,PGE,
PIT NO 3,Pit 3,PGE,
PIT NO 5,Pit 5,PGE,
POSO MOUNTAIN,Poso Mt.,PGE,
RAWSON,Rawson Packaging,PGE,
SAN JOSE A,San Jose Station A,PGE,
SAN JOSE B,San Jose Station B,PGE,
STOCKTON A,Stockton Station A,PGE,
VACA DIXON,Vaca-Dixon & Gc Yard,PGE,
VOLTA,Volta 1,PGE,
WESTPARK,West Park,PGE,
WILLITS,Willits Station A,PGE,
RESEARCH,San Ramon Research Cntr.,PGE,
ROUGH AND READY ISLA,Rough & Ready,PGE,
SMARTVILLE,Smartsville,PGE,
SMARTVILLE,Smartsville Ss,PGE,
BALCH NO 1,Balch 2,PGE,
Cal City 'A',Cal City,SCE,
Cal City 'B',Cal City,SCE,
Colton,Colton (Century),SCE,
Eagle Mountain,Eagle Mt.,SCE,
George A.f.b.,George Air Force Base,SCE,
Inyo Sce,Inyo,SCE,
Iron Mt. Sce,Iron Mt.,SCE,
Second Avenue,Second Ave.,SCE,
Universal,Universal Studios (Studio Master),SCE,
Universal,Universal Studios A,SCE,
SF H (MARTIN),Martin,PGE,
SF P (HUNTERS POINT),Hunters Point,PGE,
SF X (MISSION),Mission,PGE,
JARVIS,Air Liquide,PGE,Distance
EL DORADO PH,Camino,PGE,Distance
Blythe (Walc),Blythe-Bucks,SCE,Distance
BUCKS CREEK,Grizzly,PGE,Distance
Outplaw P.T.,Edgemont,SCE,Distance
