name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
acton,34.51022848069969,-118.19934371059604,Acton,34.51048799897755,-118.1972449969698,Acton,0.1944525318083511
alder,34.135461218673726,-117.40923340563188,Alder,34.13536355569119,-117.40896380206628,Alder,0.027085955247487557
alessandro,33.90206112145157,-117.21874445996944,Alessandro,33.902360203824635,-117.2181852584964,Alessandro,0.06139619928994664
alhambra,34.09126536072779,-118.14909135629424,Alhambra,34.09096899908039,-118.14957300279646,Alhambra,0.055255137949598826
alon,33.83495360399989,-118.24738365228652,Alon,33.8348209992809,-118.24764500383525,Alon,0.028286446682347408
amador,34.07144828017087,-118.0265503888368,Amador,34.07169126881664,-118.02699178701492,Amador,0.048815286649383983
amalia,34.0244108354365,-118.15464984731496,Amalia,34.0243532126106,-118.15450003414075,Amalia,0.01522085912327108
amargo,35.000194408197416,-117.6491998434197,Amargo,35.00091068417334,-117.64796268028908,Amargo,0.13799227860199442
amboy,34.55103171907622,-115.74537929879932,Amboy,34.5494849984677,-115.7434559952921,Amboy,0.2461826889961834
anaverde,34.567505997462106,-118.14768798466945,Anaverde,34.56752478148115,-118.1462323315475,Anaverde,0.1333023289231084
anita,34.105628874735984,-118.03845707935795,Anita,34.10555098724205,-118.03923537457985,Anita,0.07217913832499845
antelope,34.68751284101918,-118.30054134162089,Antelope,34.68734799747701,-118.30024699649252,Antelope,0.03256176397125424
apple valley,34.44908566745419,-117.22435264527036,Apple Valley,34.44832304690117,-117.2235414064831,Apple Valley,0.11280212249905014
aqueduct,34.41536391954433,-117.35578331247314,Aqueduct,34.415639000690206,-117.35595999917751,Aqueduct,0.03461637365484178
arcadia,34.14413075628738,-118.02573102368476,Arcadia,34.143984965719575,-118.02578444208424,Arcadia,0.01694016232242714
archibald,33.99775833721838,-117.59267799225032,Archibald,33.997768456231,-117.59266187137268,Archibald,0.0018640397804216668
archline,34.12100556570418,-117.58412216810132,Archline,34.12086929458526,-117.58409269968844,Archline,0.015393556094664505
arro,34.14225411537563,-117.2901281105142,Arro,34.14197143239767,-117.28996172243762,Arro,0.0349643815533273
arrowhead,34.28346401021299,-117.2162660014276,Arrowhead,34.28267982597404,-117.21513008335693,Arrowhead,0.1359972052945209
arroyo,34.199722274568614,-118.17061182882416,Arroyo,34.20000192212124,-118.17270389124891,Arroyo,0.1948979411513541
athens,33.91649613369242,-118.23856434628853,Athens,33.916567263210936,-118.2381892261668,Athens,0.03550642557283831
atwood,33.8803141981645,-117.83203349200843,Atwood,33.880449002142754,-117.83192699613006,Atwood,0.017925853440591083
auld,33.597304359772366,-117.1374341201004,Auld,33.597235276736704,-117.1392829328927,Auld,0.171408419882856
aventura,33.93260512185515,-116.50435042260274,Aventura P.T.,33.93141848938346,-116.5041040764268,Aventura P.T.,0.1338905747861744
bailey,34.776511933891044,-118.77471560428924,Bailey,34.77649100015351,-118.77442899582768,Bailey,0.026280285414704424
bain,34.01134167884273,-117.50634723105088,Bain,34.01006276038666,-117.50628314451394,Bain,0.1423318741228258
bandini,33.99961502629074,-118.17121139556464,Bandini,33.99958180854835,-118.17157825781727,Bandini,0.03402037972631802
banning,33.92233057378444,-116.87279168780988,Banning,33.92244671648164,-116.87284521205684,Banning,0.013826560251778594
barre,33.80891102627719,-117.9817954360624,Barre,33.80980878510379,-117.98381034849662,Barre,0.2112364798408224
barstow,34.901089753270135,-117.02213348405058,Barstow,34.901044872138776,-117.02214634898816,Barstow,0.005126605809114742
bassett,34.04748128352519,-117.95563035495692,Bassett,34.04749361907675,-117.95514105551148,Bassett,0.04510158874879316
basta,33.86946943886751,-117.95969582942271,Basta,33.8691828612384,-117.96020381310754,Basta,0.05670164473913349
